common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Fuchsia,Fuchsia magellanica,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,5.0,7.0
Ginkgo,Ginkgo biloba,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,8.0
Kentucky Coffee Tree,Gymnocladus dioicus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,8.0
Witch hazel,Hamamelis virginiana,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,8.0
Curry plant,Helichrysum italicum,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Mallow,Hibiscus syriacus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sea-buckthorn,Hippophae rhamnoides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist, Wet",3.0,7.0
Oceanspray,Holodiscus discolor,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Japanese raisin tree,Hovenia dulcis,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Hyssop,Hyssopus officinalis,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,11.0
Iigeri tree,Idesia polycarpa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Bachelor's button,Kerria japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Golden-chain tree,Laburnum anagyroides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Bay tree,Laurus nobilis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",8.0,10.0
Lavender,Lavandula angustifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,8.0
Tree mallow,Lavatera arborea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",8.0,8.0
Bush clover,Lespedeza thunbergii,,Full sun,,5.0,5.0
Glossy Privet,Ligustrum lucidum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,8.0,10.0
Chinese Boxthorn,Lycium chinense,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Amur Maackia,Maackia amurensis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,7.0
Osage orange,Maclura pomifera,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,9.0
Apple,Malus domestica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,8.0
Medlar,Mespilus germanica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,8.0
White mulberry,Morus alba,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Black mulberry,Morus nigra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Myrtle,Myrtus communis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,9.0
Nandina,Nandina domestica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Tupelo,Nyssa sylvatica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Oso berry,Oemleria cerasiformis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Olive,Olea europaea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,10.0
Devil's club,Oplopanax horridus,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,4.0,8.0
Mock orange,Philadelphus coronarius,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
New Zealand flax,Phormium tenax,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",8.0,10.0
Bitter orange,Citrus trifoliata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,8.0
Cinquefoil,Potentilla fruticosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,6.0
Apricot,Prunus armeniaca,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,8.0
Laurel cherry,Prunus caroliniana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Cherry plum,Prunus cerasifera,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
European plum,Prunus domestica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Almond,Prunus dulcis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,8.0
Fuji cherry,Prunus incisa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,7.0
Damson,Prunus insititia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
English laurel,Prunus laurocerasus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,6.0,8.0
Portugese laurel,Prunus lusitanica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Nectarine,Prunus persica nucipersica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Sloe,Prunus spinosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Nanking cherry,Prunus tomentosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Bamboo,Pseudosasa japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Moist, Wet",5.0,9.0
California coffeeberry,Frangula californica,,"Full sun, Partial sun/shade",,7.0,7.0
Carolina buckthorn,Frangula caroliniana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Cascara,Rhamnus purshiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,6.0
Lemonade berry,Rhus integrifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",9.0,11.0
Staghorn sumac,Rhus typhina,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,8.0
Golden currant,Ribes aureum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,8.0
Wax currant,Ribes cereum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Black currant,Ribes nigrum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Red currant,Ribes rubrum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Gooseberry,Ribes uva-crispa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Rose,Rosa,,"Full sun, Partial sun/shade",,2.0,2.0
Rosemary,Salvia rosmarinus,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,11.0
Himalayan Giant Blackberry,Rubus armeniacus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Red raspberry,Rubus idaeus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,8.0
Black raspberry,Rubus occidentalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Hooker's willow,Salix hookeriana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Purple osier,Salix purpurea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist, Wet",4.0,8.0
Blue elderberry,Sambucus caerulea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Black elderberry,Sambucus nigra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,7.0
Sassafras,Sassafras albidum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Buffaloberry,Shepherdia argentea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",3.0,8.0
Rowan,Sorbus aucuparia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Spanish broom,Spartium junceum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,9.0
Lilac,Syringa vulgaris,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,7.0
French tamarisk,Tamarix gallica,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Northern Highbush Blueberry,Vaccinium corymbosum,"Light (sandy), Medium, Acidic","Full sun, Partial sun/shade",Moist,3.0,8.0
Highbush - Cranberry,Viburnum trilobum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,7.0
Yucca,Yucca spp.,,Full sun,,4.0,4.0
Jujube,Ziziphus jujuba,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,10.0
Horseradish,Armoracia rusticana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Nasturtium,Tropaeolum majus,"Light (sandy), Medium",Full sun,Moist,6.0,11.0
Tayberry,Rubus fruticosus x idaeus,,,,6.0,10.0
Blackberry,Rubus fruticosus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,5.0,9.0
Rhubarb,Rheum × hybridum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,8.0
Siberian miner's lettuce,Claytonia sibirica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",3.0,7.0
Salmonberry,Rubus spectabilis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Chives,Allium schoenoprasum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,12.0
Common Evening-Primrose,Oenothera biennis,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,8.0
Pot marigold,Calendula officinalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Garlic,Allium sativum,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,10.0
Lemon balm,Melissa officinalis,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
White Mustard,Sinapis alba,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Potato,Solanum tuberosum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,10.0
Spinach,Spinacia oleracea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Tansy,Tanacetum vulgare,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,8.0
Yarrow,Achillea millefolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Basil,Ocimum basilicum,"Light (sandy), Medium",Full sun,Moist,5.0,10.0
Asparagus,Asparagus officinalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,9.0
Broad Bean,Vicia faba,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Runner Bean,Phaseolus coccineus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,1.0,12.0
Beet,Beta vulgaris vulgaris,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Borage,Borago officinalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Carrot,Daucus carota sativus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,3.0,10.0
Celery,Apium graveolens,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,5.0,9.0
Common Sunflower,Helianthus annuus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Tomato,Solanum lycopersicum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Marjoram,Origanum majorana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Parsley,Petroselinum crispum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,8.0
Thyme,Thymus vulgaris,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,11.0
Maximilian Sunflower,Helianthus maximiliani,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,10.0
Pumpkin / Zucchini,Cucurbita pepo,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Giant red mustard,Brassica juncea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Saskatoon berry,Amelanchier alnifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,7.0
Hardy kiwi,Actinidia arguta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Tiger nut,Cyperus esculentus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",8.0,10.0
Quinoa,Chenopodium quinoa,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Fennel,Foeniculum vulgare,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,9.0
Ruta graveolens,Ruta graveolens,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,10.0
Beta vulgaris cicla,Beta vulgaris cicla,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Zea mays,Zea mays,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,2.0,11.0
Cucumis sativus,Cucumis sativus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Solanum melongena,Solanum melongena,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Lactuca sativa,Lactuca sativa,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,5.0,9.0
Allium cepa,Allium cepa,"Light (sandy), Medium",Full sun,Moist,3.0,9.0
Pastinaca sativa,Pastinaca sativa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Strawberry,Fragaria × ananassa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Anethum graveolens,Anethum graveolens,"Light (sandy), Medium",Full sun,Moist,2.0,11.0
Broccoli,Brassica oleracea italica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Coriandrum sativum,Coriandrum sativum,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",2.0,11.0
Brussel Sprouts,Brassica oleracea gemmifera,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Chamomile,Matricaria chamomilla,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Allium ampeloprasum,Allium ampeloprasum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Raphanus sativus,Raphanus sativus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Cauliflower,Brassica oleracea botrytis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,10.0
Anthriscus cerefolium,Anthriscus cerefolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,6.0,9.0
Common Grape Vine,Vitis vinifera,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,10.0
Mentha pulegium,Mentha pulegium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Satureja hortensis,Satureja hortensis,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Satureja montana,Satureja montana,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,11.0
Urtica dioica,Urtica dioica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,10.0
Savoy cabbage,Brassica oleracea sabauda,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,11.0
Jalapeño Chili,Capsicum annuum cv. 'Jalapeño' ,,,,,
Capsicum pubescens,Capsicum pubescens,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Walking onion,Allium × proliferum,"Light (sandy), Medium",Full sun,Moist,3.0,9.0
Kale,Brassica oleracea acephala,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,10.0
Lycium barbarum,Lycium barbarum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Vaccinium parvifolium,Vaccinium parvifolium,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,5.0,9.0
Gaultheria shallon,Gaultheria shallon,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade","Dry, Moist",5.0,9.0
Thuja plicata,Thuja plicata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",5.0,8.0
Verbascum thapsus,Verbascum thapsus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,9.0
Habanero,Capsicum chinense Habanero Group,,,,,
Abelmoschus esculentus,Abelmoschus esculentus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,11.0
Kohlrabi,Brassica oleracea gongylodes,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Passiflora edulis,Passiflora edulis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,12.0
Capsicum Annuum Grossum,Capsicum Annuum Grossum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,11.0
Triticum aestivum,Triticum aestivum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Ipomoea batatas,Ipomoea batatas,"Light (sandy), Medium",Full sun,Moist,10.0,12.0
Taxus baccata,Taxus baccata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",5.0,7.0
Turnip,Brassica rapa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,11.0
